roi,r,p,metric
7Networks_LH_Cont_Par_1,0.27464747231355335,0.44251286832346387,Views
7Networks_LH_Cont_Par_2,0.30018697703477104,0.39938330597341415,Views
7Networks_LH_Cont_Par_3,0.41969153040534685,0.227261861409279,Views
7Networks_LH_Cont_Par_4,0.42872000411389577,0.21637052350765174,Views
7Networks_LH_Cont_Par_5,0.30460633606869447,0.39213291491975355,Views
7Networks_LH_Cont_Par_6,0.5390931885105755,0.10782787598145582,Views
7Networks_LH_Cont_Temp_1,0.4829526337387915,0.15738372449172244,Views
7Networks_LH_Cont_OFC_1,0.3967177130512355,0.2563475576074871,Views
7Networks_LH_Cont_PFCl_1,0.4835467147388579,0.15679855887786157,Views
7Networks_LH_Cont_PFCl_2,0.3930361403768503,0.2611906169931408,Views
7Networks_LH_Cont_PFCl_3,0.1905009665063953,0.5980757438081399,Views
7Networks_LH_Cont_PFCl_4,0.1377588494440384,0.7043065157441601,Views
7Networks_LH_Cont_PFCl_5,0.40842139133856803,0.2412848967810827,Views
7Networks_LH_Cont_PFCl_6,0.393006582705385,0.261229702147312,Views
7Networks_LH_Cont_PFCl_7,0.3496738965415781,0.32195381232533427,Views
7Networks_LH_Cont_PFCl_8,0.6224133444951663,0.05463249270140615,Views
7Networks_LH_Cont_PFCv_1,-0.5940327607318165,0.0701675181528019,Views
7Networks_LH_Cont_pCun_1,0.006298336559724449,0.9862229353072524,Views
7Networks_LH_Cont_pCun_2,0.41982669376674325,0.2270965602016869,Views
7Networks_LH_Cont_Cing_1,0.4434696272060196,0.19923510085615467,Views
7Networks_LH_Cont_Cing_2,-0.23335355410691355,0.5164392734055289,Views
7Networks_LH_Cont_PFCmp_1,0.48099057662093186,0.15932568398323463,Views
7Networks_LH_Default_Temp_1,0.6659019259419817,0.035552837173756124,Views
7Networks_LH_Default_Temp_2,0.7644643367605297,0.010020109521141858,Views
7Networks_LH_Default_Temp_3,0.5567752827321961,0.09457290219500648,Views
7Networks_LH_Default_Temp_4,0.5427595151279515,0.10498882427247504,Views
7Networks_LH_Default_Temp_5,0.2432290022782867,0.4983120377604715,Views
7Networks_LH_Default_Temp_6,0.4071243332138968,0.24292915543269322,Views
7Networks_LH_Default_Temp_7,0.40192959441462295,0.24957710263163968,Views
7Networks_LH_Default_Temp_8,0.2709553000033997,0.44891714349338196,Views
7Networks_LH_Default_Temp_9,0.11359051930447307,0.7547020745356602,Views
7Networks_LH_Default_Temp_10,0.3527056525012827,0.3174854959910408,Views
7Networks_LH_Default_Par_1,0.4748772177522253,0.1654685414510289,Views
7Networks_LH_Default_Par_2,0.7280390904291708,0.016973347968616003,Views
7Networks_LH_Default_Par_3,0.3323355214243729,0.34812821655635723,Views
7Networks_LH_Default_Par_4,0.772495110842994,0.008814089884736628,Views
7Networks_LH_Default_Par_5,0.6425922779819139,0.04509810112062644,Views
7Networks_LH_Default_Par_6,0.6662616127648269,0.03541735505712758,Views
7Networks_LH_Default_Par_7,0.3987866215373369,0.2536479200218171,Views
7Networks_LH_Default_PFC_1,0.05612770385901811,0.8776067113850594,Views
7Networks_LH_Default_PFC_2,0.30271520155010867,0.3952276723187183,Views
7Networks_LH_Default_PFC_3,0.3316948366011949,0.3491154498109511,Views
7Networks_LH_Default_PFC_4,0.26438841145547726,0.4604103693399041,Views
7Networks_LH_Default_PFC_5,0.5184219913033229,0.1247361096753437,Views
7Networks_LH_Default_PFC_6,0.5188834289029315,0.12434182303910817,Views
7Networks_LH_Default_PFC_7,0.2089750360730406,0.5623127155525417,Views
7Networks_LH_Default_PFC_8,0.5271864148803647,0.11737913535178701,Views
7Networks_LH_Default_PFC_9,0.17711956300074067,0.6244786730392747,Views
7Networks_LH_Default_PFC_10,0.3370889503755867,0.34084798431207314,Views
7Networks_LH_Default_PFC_11,0.7664140298042841,0.009717248329191013,Views
7Networks_LH_Default_PFC_12,0.17945566060583518,0.6198404465414296,Views
7Networks_LH_Default_PFC_13,0.6281011080195062,0.05182146741977863,Views
7Networks_LH_Default_PFC_14,0.6883812330046082,0.027741627649721625,Views
7Networks_LH_Default_PFC_15,0.7307035671794729,0.0163758285594579,Views
7Networks_LH_Default_PFC_16,0.4535380000945997,0.1880073201269698,Views
7Networks_LH_Default_PFC_17,0.6160129669608808,0.05791436940756198,Views
7Networks_LH_Default_PFC_18,0.6797617856368501,0.03058159680627807,Views
7Networks_LH_Default_PFC_19,0.7654162224805537,0.009871427428906402,Views
7Networks_LH_Default_PFC_20,0.46736974830615535,0.1732034107766313,Views
7Networks_LH_Default_PFC_21,0.6651976311768226,0.035819136487711956,Views
7Networks_LH_Default_PFC_22,0.6592768674402737,0.03811134691672619,Views
7Networks_LH_Default_PFC_23,0.6956623423939232,0.025487632337536092,Views
7Networks_LH_Default_PFC_24,0.48904242749904464,0.15144761674732543,Views
7Networks_LH_Default_pCunPCC_1,0.14343026636589712,0.6926216279913003,Views
7Networks_LH_Default_pCunPCC_2,0.0595706290668333,0.8701506936773339,Views
7Networks_LH_Default_pCunPCC_3,0.3172687024697631,0.3717167715499915,Views
7Networks_LH_Default_pCunPCC_4,-0.15966697385646283,0.6594972901114589,Views
7Networks_LH_Default_pCunPCC_5,-0.2757307498862226,0.4406418172809109,Views
7Networks_LH_Default_pCunPCC_6,0.2797002194268174,0.43381675390260754,Views
7Networks_LH_Default_pCunPCC_7,0.6075350950176649,0.06245816190252968,Views
7Networks_LH_Default_pCunPCC_8,0.6342256585358271,0.04890385282763838,Views
7Networks_LH_Default_pCunPCC_9,0.5278943408333403,0.11679702123934597,Views
7Networks_LH_Default_pCunPCC_10,0.23007807626279567,0.5225110950991907,Views
7Networks_LH_Default_pCunPCC_11,0.2913164151105259,0.4141280150563988,Views
7Networks_RH_Vis_1,0.07253777298408687,0.8421559010752653,Views
7Networks_RH_Vis_2,0.10167079968492888,0.7798798904645255,Views
7Networks_RH_Vis_3,0.02747366088094437,0.9399467088538254,Views
